customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100013,Female,0,Yes,No,5,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),50.52,209.73,No
C100014,Male,0,No,Yes,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),82.62,1317.86,No
C100015,Female,1,Yes,Yes,48,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.7,3184.58,Yes
C100016,Male,0,No,Yes,6,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),33.83,214.94,No
C100017,Male,0,No,No,1,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,124.52,83.48,Yes
C100018,Male,1,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.19,566.04,No
C100019,Female,0,No,No,33,Yes,No phone service,No,No,No,No,Yes,No,No,Two year,Yes,Electronic check,97.83,3199.88,Yes
C100020,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,95.26,1722.83,No
C100021,Female,0,No,No,40,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),32.22,1358.85,No
C100022,Male,1,No,No,72,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),39.93,2884.13,No
C100023,Male,1,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),60.95,2256.61,Yes
C100024,Male,1,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),44.03,1023.38,No
C100025,Male,0,Yes,No,16,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,121.79,1992.22,No
C100026,Male,1,No,No,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,63.99,0.0,No
C100027,Male,0,No,Yes,72,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),96.69,6939.19,No
C100028,Male,0,No,No,11,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,85.41,883.86,No
C100029,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),77.92,160.54,No
C100030,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),71.21,1880.39,No
C100031,Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,107.11,876.49,Yes
C100032,Male,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,45.25,988.29,No
C100033,Male,0,Yes,No,21,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),121.79,2621.67,No
C100034,Male,0,Yes,Yes,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,31.38,478.04,Yes
C100035,Female,0,Yes,No,43,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,93.45,4061.52,Yes
C100036,Male,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),27.85,91.05,Yes
C100037,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),60.53,832.07,No
C100038,Female,0,Yes,No,18,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,72.8,1358.63,Yes
C100039,Female,0,No,No,26,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,55.4,1381.99,No
C100040,Female,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,64.55,2328.38,Yes
C100041,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,28.39,366.65,No
C100042,Male,0,Yes,Yes,24,No,No phone service,No,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,40.38,991.26,Yes
C100043,Male,0,No,No,3,Yes,No,No,No,No,No,Yes,No,No,One year,No,Mailed check,84.95,273.29,Yes
C100044,Male,1,No,No,64,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,70.89,4566.91,No
C100045,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),49.28,551.12,No
C100046,Male,0,No,No,31,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.73,3328.48,No
C100047,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),33.4,25.35,Yes
C100048,Male,1,Yes,No,5,No,No,No,No,No,No,Yes,No,No,One year,No,Credit card (automatic),59.15,309.99,No
C100049,Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,54.83,804.79,Yes
C100050,Female,1,Yes,Yes,50,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),88.45,4491.49,No
C100051,Male,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.44,1241.17,No
C100052,Female,1,Yes,Yes,63,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,66.76,4136.86,No
C100053,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),18.25,232.89,No
C100054,Female,1,No,No,16,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),95.95,1507.0,No
C100055,Male,0,No,No,3,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),63.47,162.17,No
C100056,Male,0,No,No,38,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.47,2806.51,Yes
C100057,Female,0,Yes,No,6,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,47.54,236.42,No
C100058,Female,0,Yes,No,55,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.83,2412.06,Yes
C100059,Female,0,No,No,58,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,114.98,6721.13,Yes
C100060,Female,1,Yes,No,68,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.25,1271.97,No
C100061,Female,1,Yes,No,17,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,38.37,654.5,No
C100062,Female,0,No,No,27,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,114.41,3135.94,No
C100063,Female,0,No,No,36,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.22,3198.12,Yes
C100064,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.24,144.5,No
C100065,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.4,2422.31,Yes
C100066,Male,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,83.41,15.88,No
C100067,Female,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),76.98,1197.48,Yes
C100068,Male,0,Yes,No,4,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),76.77,286.19,Yes
C100069,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,83.96,299.02,Yes
C100070,Male,0,No,No,10,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,85.17,952.81,Yes
C100071,Male,0,No,No,13,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,135.88,1766.64,No
C100072,Female,0,Yes,No,23,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),64.15,1483.34,No
C100073,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,65.08,101.14,Yes
C100074,Female,1,No,No,16,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),32.89,465.47,No
C100075,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),68.44,328.59,No
C100076,Male,0,No,No,20,Yes,No,No,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,125.89,2487.41,No
C100077,Male,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),99.53,2480.22,Yes
C100078,Female,0,Yes,No,19,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,53.69,1004.48,No
C100079,Male,1,No,No,32,Yes,No,No,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),70.9,2320.68,No
C100080,Female,0,No,Yes,9,Yes,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),31.11,155.15,No
C100081,Male,0,No,Yes,34,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,40.93,1332.86,No
C100082,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,74.48,953.56,Yes
C100083,Male,1,No,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.17,726.01,No
C100084,Female,1,No,Yes,25,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,38.66,996.54,Yes
C100085,Female,0,No,No,0,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,84.7,15.65,Yes
C100086,Male,0,No,No,25,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,67.53,1638.71,No
C100087,Female,0,Yes,Yes,23,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,22.97,527.51,No
C100088,Male,1,No,No,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),18.25,186.32,No
C100089,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),52.9,0.65,Yes
C100090,Male,1,No,Yes,2,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),22.35,0.0,Yes
C100091,Male,0,No,Yes,61,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),18.25,1096.5,No
C100092,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.87,2909.55,No
C100093,Male,0,No,Yes,3,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,67.07,198.28,No
C100094,Male,0,Yes,Yes,10,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.04,664.86,No
C100095,Male,0,No,No,21,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,64.35,1375.21,No
C100096,Male,0,No,No,43,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,35.87,1577.24,No
C100097,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),82.33,12.84,Yes
C100098,Male,0,Yes,No,6,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),66.08,403.72,Yes
C100099,Female,0,No,Yes,52,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),47.28,2443.2,No
C100100,Female,0,Yes,No,0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),51.77,73.1,No
C100101,Male,1,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),33.18,174.62,No
C100102,Male,1,No,No,72,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,57.81,4128.87,No
C100103,Male,1,No,No,22,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,62.81,1424.45,No
C100104,Male,1,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),57.03,427.37,No
C100105,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,71.65,30.57,No
C100106,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,67.64,0.0,No
C100107,Male,0,Yes,Yes,6,Yes,No,No,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),76.92,444.95,No
C100108,Male,0,No,No,51,Yes,No,No,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),98.29,5074.16,No
C100109,Female,0,No,No,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),87.79,1063.64,No
C100110,Male,0,No,No,30,No,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),98.64,2995.54,No
C100111,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),44.57,2649.54,No
C100112,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,54.74,673.62,No
C100113,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),89.61,513.22,Yes
C100114,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,90.14,1514.33,No
C100115,Male,0,No,No,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,49.64,2835.24,No
C100116,Female,0,No,No,39,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,88.35,3377.48,Yes
C100117,Male,1,Yes,No,1,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),41.69,3.41,Yes
C100118,Male,0,Yes,No,28,No,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),84.43,2347.32,No
C100119,Female,0,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),69.21,1331.16,No
C100120,Male,1,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,28.47,1688.89,Yes
C100121,Female,1,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),56.98,129.04,Yes
C100122,Male,1,Yes,Yes,18,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,135.47,2477.8,Yes
C100123,Female,0,No,No,50,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),76.08,3813.34,No
C100124,Female,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),139.01,1669.66,Yes
C100125,Male,0,No,No,15,No,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),26.68,474.51,No
C100126,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),92.52,0.0,No
C100127,Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),18.25,117.94,No
C100128,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,69.99,575.89,No
C100129,Male,0,No,No,69,No,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,88.94,6038.79,No
C100130,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,95.14,606.24,Yes
C100131,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),46.02,645.14,No
C100132,Female,0,No,Yes,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),101.17,2594.15,Yes
C100133,Female,0,No,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),53.99,260.79,No
C100134,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),65.08,965.51,Yes
C100135,Female,0,No,No,32,Yes,Yes,No,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),57.0,1807.76,No
C100136,Female,1,No,No,48,Yes,No,No,No,No,No,Yes,No,No,One year,No,Electronic check,35.91,1707.67,No
C100137,Female,0,No,Yes,23,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,117.09,2688.15,Yes
C100138,Female,0,No,No,26,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,71.44,1836.52,Yes
C100139,Female,0,Yes,No,3,Yes,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,102.62,265.3,Yes
C100140,Male,0,Yes,No,69,Yes,No,No,No,No,Yes,No,No,No,One year,No,Credit card (automatic),101.34,7041.92,No
C100141,Female,0,No,Yes,3,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),40.96,91.68,No
C100142,Male,0,No,No,35,No,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),106.48,3707.62,Yes
C100143,Male,0,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.1,617.17,No
C100144,Male,0,Yes,No,65,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),38.77,2535.99,No
C100145,Female,1,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,83.47,2459.43,Yes
C100146,Female,0,No,No,33,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),39.31,1334.98,No
C100147,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),118.19,617.83,Yes
C100148,Female,1,No,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),94.41,1330.64,No
C100149,Male,1,No,Yes,23,Yes,No,No,No,No,Yes,No,No,No,One year,No,Electronic check,67.87,1539.44,No
C100150,Female,0,No,No,35,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Mailed check,107.94,3757.56,Yes
C100151,Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),22.54,34.99,No
C100152,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),47.52,3359.85,No
C100153,Female,0,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,62.43,3306.83,No
C100154,Female,0,No,No,7,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,137.07,1004.1,Yes
C100155,Male,0,No,No,41,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,37.89,1597.31,No
C100156,Female,0,No,Yes,17,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.78,300.22,No
C100157,Male,1,Yes,No,14,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,26.67,426.58,No
C100158,Female,1,No,No,9,Yes,No,No,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,97.19,970.01,No
C100159,Male,0,Yes,Yes,20,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,52.17,1027.59,No
C100160,Female,0,No,No,31,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,65.23,2056.71,No
C100161,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),92.88,1001.42,No
C100162,Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,65.26,1438.07,No
C100163,Male,0,No,No,28,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.12,2135.92,No
C100164,Male,0,Yes,Yes,29,No,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,86.06,2445.4,No
C100165,Female,0,No,No,1,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,57.08,159.04,No
C100166,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,65.01,3085.36,No
C100167,Female,0,Yes,Yes,14,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),77.26,1129.93,Yes
C100168,Female,0,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,96.05,670.9,Yes
C100169,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),46.23,227.22,Yes
C100170,Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.25,247.81,Yes
C100171,Female,1,Yes,No,52,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.39,4713.0,Yes
C100172,Female,0,Yes,Yes,11,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.83,1044.23,No
C100173,Male,0,Yes,Yes,33,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check,76.0,2541.56,No
C100174,Male,0,Yes,No,2,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,78.05,191.67,No
C100175,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),53.07,796.3,No
C100176,Female,0,No,No,72,Yes,No,No,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),85.01,6029.44,No
C100177,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.6,3431.74,No
C100178,Female,0,No,No,5,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.69,347.82,No
C100179,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),144.74,2451.3,No
C100180,Female,1,Yes,No,6,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,23.09,171.17,No
C100181,Female,0,Yes,No,12,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,74.89,888.18,No
C100182,Male,0,Yes,Yes,36,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),34.77,1274.11,No
C100183,Female,1,Yes,No,35,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),96.4,3273.04,Yes
C100184,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),22.56,186.67,Yes
C100185,Female,1,No,No,61,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.98,1957.13,No
C100186,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,51.0,966.54,Yes
C100187,Female,0,Yes,No,11,Yes,No,No,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),77.97,843.3,No
C100188,Female,0,No,No,16,No,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,52.14,828.97,No
C100189,Male,0,No,No,22,Yes,No,No,No,No,No,Yes,No,No,Two year,Yes,Mailed check,52.44,1197.44,No
